support vector machine	Support-vector machine
half-hull ship	Half hull model ship
saryu-class patrol vessel	Saryu-class patrol vessel
young laplace equation	Young–Laplace equation
magnetic level gauge	Magnetic level gauge
adeli suit	Adeli suit
mime types	Media type
all-wheel steering	Steering
language magazine	Language Magazine
predacious bird	Bird of prey
ancient roman oil lamp	Ancient Roman pottery
goes gold	Software release life cycle
francoist concentration camps	Francoist concentration camps
okay to be white	It's okay to be white
berkefeld filter	Berkefeld filter
coastal defence	Coastal defence
bath additives	Bathing
tabes mesenterica	Tuberculosis
fishing fly	Artificial fly
rf transmitter module	RF module
hatch-class lifeboat	Hatch-class lifeboat
vacuum tube oscillator	Electronic oscillator
air-conditioning system	Heating, ventilation, and air conditioning
aspergers syndrom	Asperger syndrome
org chart	Organizational chart
escheria coli	Escherichia coli
electron theory	Electron
w-19-class minesweeper	W-19-class minesweeper
gene code	Genetic code
garlic oil	Garlic oil
mozambican metica	Mozambican metica
blue peter pets	Blue Peter pets
zenith sector	Zenith telescope
bathochromic shift	Bathochromic shift
project west ford	Project West Ford
hydraulic organ	Water organ
deterministic algorithm	Deterministic algorithm
acoustical science	Acoustics
bent sequence	Bent function
protein aggregation	Protein aggregation
audio visualization	Music visualization
newtonian capacity	Capacity of a set
list of palearctic ecoregions	Palearctic realm
pneumatic amplifier	Compressed air gramophone
terminator 5	Terminator Genisys
data extraction	Data extraction
user documentation	Software documentation
photonic lightwave circuit	Photonic integrated circuit
medical isotop	Nuclear medicine
γ-aminobutyric acid	Gamma-Aminobutyric acid
christian fish	Ichthys
ratio-squared combiner	Maximal-ratio combining
3d rendering	3D rendering
slang poker hand names	List of playing-card nicknames
twisted vertical hill	Roller coaster elements
abstraction inversion	Abstraction inversion
waser wifle	Fallout 4
fragaria x vescana	Fragaria × vescana
crowd sourced	Crowdsourcing
military commissions	Military justice
maho kanojo	Magical girlfriend
british diplomat	Her Majesty's Diplomatic Service
gas lighter	Gas lighter
1992 film	1992 in film
facebook help	Facebook
malignant transformation	Malignant transformation
catecholaldehyde hypothesis	3,4-Dihydroxyphenylacetaldehyde
internal properties	Quantum number
galileo's telescope	Refracting telescope
964 in poetry	960s in poetry
impact ionization	Impact ionization
complement-free ring sum	Algebraic normal form
country music songs	Country music
birmingham electroacoustic sound theatre	Birmingham ElectroAcoustic Sound Theatre
flavour changing neutral currents	Flavor-changing neutral current
micro chip	Integrated circuit
cyber intrusion	Cyberattack
brake cleaner	Brake cleaner
irrigation salinization	Soil salinity
radiofrequency coil	Radiofrequency coil
japanese car industry	Automotive industry in Japan
eastlake architecture	Eastlake Movement
infrared sensing in snakes	Infrared sensing in snakes
semiconductor nanostructures	Silicon nanowire
science fiction technology	Technology in science fiction
intravenous contrast	Contrast agent
environmental impact of concentrated animal feeding operations	Concentrated animal feeding operation
maskable interrupts	Interrupt
traveling forge	Traveling forge
zinc ions	Zinc
vehicle cargo ship	Vehicle cargo ship
power delay product	Power–delay product
automated whitelisting	Automated whitelist
pataphysical calendar	Pataphysical calendar
character large object	Character large object
free circuit design	Espresso heuristic logic minimizer
chicago sanitary and ship canal	Chicago Sanitary and Ship Canal
color catcher	Colour Catcher
running gear	Running gear (rail transport)
isotopes of iodine	Isotopes of iodine
list of most massive known black holes	List of most massive black holes
docking and berthing of spacecraft	Docking and berthing of spacecraft
one woodland terminal model	One woodland terminal model
aeronautical radio navigation service	Radio navigation
bench mounting	Workbench
electric-assisted velomobile	Velomobile
multimessenger astrophysics	Multi-messenger astronomy
bathing box	Beach hut
manufacture of salt	Salt
eotvos number	Eötvös number
manifold absolute pressure sensor	MAP sensor
battery indicator	Battery indicator
never summer	Never summer
major urinary proteins	Major urinary proteins
mounted infantry	Mounted infantry
biotech company	Biotechnology
group delay	Group delay and phase delay
biological ageing	Senescence
london bridges	List of bridges in London
protocol of 1919	A Protocol of 1919
jerry killers	Peanut
yellowstone fires of 1988	Yellowstone fires of 1988
michael d ercolino	Michael D. Ercolino
independent water and power project	Integrated water and power plant
dynamic braking	Dynamic braking
exoticorum libri decem	Exoticorum libri decem
biogas upgrader	Biogas upgrader
fat necrosis	Fat necrosis
adaptive rowing	Pararowing
camera dial	Mode dial
electric post	Utility pole
word macro virus	Macro virus
aztec calendar stone	Aztec sun stone
coastal storm	Storm
asymmetric blade effect	P-factor
b5014 road	B roads in Zone 5 of the Great Britain numbering scheme
initial operational capability	Initial operating capability
speed wobble	Speed wobble
zapotec writing	Zapotec writing
in memory database system	In-memory database
single person supplement	Single supplement
amadori product	Amadori rearrangement
common heritage	Common heritage of mankind
partially defined	Densely defined operator
activation threshold	Activation energy
schwartzchild radius	Schwarzschild radius
asymptotic bound	Big O notation
schroedinger's cat	Schrödinger's cat
phylogenetic systematics	Cladistics
shared data structure	Concurrent data structure
complexing agent	Chelation
lumia 521	Nokia Lumia 520
irrelevant interaction	Renormalization group
dijiri doo	Didgeridoo
national helicopter museum	National Helicopter Museum
defense condition	DEFCON
delayed cord clamping	Umbilical cord
cisco 7600	Cisco Systems
hadron era	Hadron epoch
electrical musclular stimulation	Electrical muscle stimulation
components of medieval armor	Components of medieval armour
twistie ties	Twist tie
human beatbox	Beatboxing
small angle scattering	Small-angle scattering
armillary sphere	Armillary sphere
stand up paddleboard	Standup paddleboarding
x-ray film	X-ray detector
turbo spin echo	MRI sequence
forensic anthropologist	Forensic anthropology
masada coins	First Jewish Revolt coinage
disaster recovery and continuity	Disaster recovery and business continuity auditing
dvc-pro hd	DV
kinetic theory of matter	Kinetic theory of gases
anti-tank rocket	Anti-tank warfare
pijao-class submarine	Type 209 submarine
topic outline of biotechnology	Outline of biotechnology
plexus nervosus submucosus	Submucosal plexus
alarm bells	Alarm device
parity automaton	Ω-automaton
climate ethics	Climate ethics
acute ischemic limb	Acute limb ischaemia
1-pyrroline-5-carboxylic acid	1-Pyrroline-5-carboxylic acid
drop and insert	Drop and insert
virtual circuit switching	Virtual circuit
audio player	Audio player
mobile satellite system	Mobile-satellite service
b3107 road	B roads in Zone 3 of the Great Britain numbering scheme
josh eustis	Joshua Eustis
floral reproductive morphology	Plant reproductive morphology
common adjective	Proper adjective
extensive shower	Cosmic ray
electrotonic potential	Electrotonic potential
commit order	Commitment ordering
list of word processors	List of word processors
spatial gradient	Spatial gradient
septic tank effluent pump	Effluent sewer
trakia motorway	Trakia motorway
cylindrical ion trap mass spectrometer	Quadrupole ion trap
cefdaloxime pentexil tosilate	Cefdaloxime
gossip girl	Gossip Girl
yeast wine	Yeast in winemaking
severn trow	Trow
german spelling reform	Spelling reform
litre per minute	Litre
electronic load	Dummy load
media artist	New media art
unbalanced assignment problem	Assignment problem
wire bristle impact	Bristle blasting
quadratic integral	Quadratic integral
isentropic process	Isentropic process
advertising copy	Copywriting
when contact changes minds	When contact changes minds
traveling salesman puzzle	Travelling salesman problem
olympic needle	Montjuïc Communications Tower
sanding block	Sanding block
rete testis	Rete testis
spoon scale	Weighing scale
postmenopausal hormone therapy	Hormone replacement therapy
stake out	Surveillance
two-price advertising	Two-price advertising
thank you note	Letter of thanks
forum role playing game	Online text-based role-playing game
permitless carry	Constitutional carry
train protection system	Train protection system
heraldic art	Heraldry
gender egalitarianism	Gender equality
idler pulley	Idler-wheel
adiabatic conductivity	Adiabatic conductivity
micro job	Micro job
5-aminoimidizole ribonucleotide	5-Aminoimidazole ribotide
garden tool	Garden tool
mechanical harvester	Mechanised agriculture
sonar decoy	Sonar decoy
resonant energy transfer	Resonant energy transfer
kaiser blades	Sling blade
high altitude birds	Organisms at high altitude
triple phase boundary	Triple phase boundary
public sector housing	Public housing
drug response	Dose–response relationship
progestogen-only contraceptive	Progestogen-only contraception
two plus two makes five	2 + 2 = 5
ghost branding	Advertising
fetish footwear	Fetish fashion
shang-class submarine	Shang-class submarine
articulation of head of rib	Articulation of head of rib
western redceader	Thuja plicata
slewing bearing	Slewing bearing
optical prescription	Eyeglass prescription
scottish east coast fishery	Scottish east coast fishery
variable number tandem repeat	Variable number tandem repeat
xhtml special characters	List of XML and HTML character entity references
sequence step algorithm	Sequence step algorithm
sand flag	Sand flag
wavlet series	Wavelet transform
net capital productivity	Marginal efficiency of capital
dextrose equivalent	Dextrose equivalent
partial ionization	Degree of ionization
rumford fireplace	Rumford fireplace
leaving a child in a hot car	Heat stroke
pokémon game mechanics	Gameplay of Pokémon
disabled access	Accessibility
kirk cameron	Kirk Cameron
stabilizer code	Stabilizer code
material flow accounting	Material flow accounting
rossby wave	Rossby wave
l-arabinose operon	L-arabinose operon
distributed filesystem	Clustered file system
trochlear articulations	Humeroulnar joint
common grey tree-frog	Gray treefrog
rhubarb crumble	Crumble
electronic donkey	EMule
deception in animals	Deception in animals
half dress	Western dress codes
antenna tuning unit	Antenna tuner
group concept mapping	Group concept mapping
diethyl parathion	Parathion
electronic circuitry	Electronic circuit
grain circles	Crop circle
corporate colors	Corporate identity
