term,annotation,df
peroxizome proliferator-activated receptor-gamma,protein,jnlpba
liganded ppargamma,protein,jnlpba
osteopontin,protein,jnlpba
human monocytic leukemia cells,cell_type,jnlpba
human osteopontin promoter/luciferase construct,DNA,jnlpba
ppargamma expression vector,DNA,jnlpba
ig lambda,protein,jnlpba
ig and tcr genes,DNA,jnlpba
v ( d ) j recombinase complex,protein,jnlpba
precursor lymphocytes,cell_type,jnlpba
"v , d , and j gene segments",DNA,jnlpba
recombinase,protein,jnlpba
ag receptor loci,DNA,jnlpba
locus,DNA,jnlpba
gene segments,DNA,jnlpba
igkappa locus,DNA,jnlpba
iglambda locus,DNA,jnlpba
nf-kappab binding sites,DNA,jnlpba
iglambda genes,DNA,jnlpba
iglambda gene segments,DNA,jnlpba
iglambda promoter,DNA,jnlpba
l chain loci,DNA,jnlpba
iglambda regulatory element,DNA,jnlpba
bruton 's tyrosine kinase,protein,jnlpba
lymphohematopoietic cells,cell_type,jnlpba
purified recombinant btk,protein,jnlpba
purified recombinant stat5a,protein,jnlpba
recombinant stat5a,protein,jnlpba
"y665f , y668f , and y682f , y683f mutants",protein,jnlpba
y694f mutant,protein,jnlpba
src homology 2 ( sh2 ) and sh3 domains,protein,jnlpba
recombinant btk proteins,protein,jnlpba
"sh2 , or sh3 domains",protein,jnlpba
full-length btk,protein,jnlpba
sh1/kinase domain,protein,jnlpba
btk kinase domain,protein,jnlpba
tyr ( 694 ) mutant,protein,jnlpba
stat5 protein,protein,jnlpba
wild type human btk,protein,jnlpba
kinase-inactive mutant btk,protein,jnlpba
t-bet,protein,jnlpba
helper t ( th ) cells,cell_type,jnlpba
interleukin 12 ( il-12 ),protein,jnlpba
interferon-gamma ( ifn-gamma ) alleles,DNA,jnlpba
il-12 receptor beta2,DNA,jnlpba
growth signal,protein,jnlpba
creb-binding protein,protein,jnlpba
cr-stimulated naive cd4 t cells,cell_type,jnlpba
phosphotyrosine binding domain-containing proteins,protein,jnlpba
insulin receptor substrate 1/2,protein,jnlpba
il-4r interacting protein,protein,jnlpba
phosphotyrosine binding adaptors,protein,jnlpba
human ( h ) il-4r alpha-chain,protein,jnlpba
y497f,protein,jnlpba
mutant hil-4ralpha,protein,jnlpba
wild-type ( wt ) hil-4ralpha,protein,jnlpba
wt hil-4ralpha,protein,jnlpba
insulin receptor substrate 2,protein,jnlpba
y497,protein,jnlpba
wt and y497f hil-4ralpha,protein,jnlpba
stat6-knockout cd4 t cells,cell_type,jnlpba
activated stat6,protein,jnlpba
hiv-1 regulatory proteins,protein,jnlpba
distal ap-1 site,DNA,jnlpba
position -185 to -177,DNA,jnlpba
nonstimulated t cells,cell_type,jnlpba
ap-1 ( il-2/d ) site,DNA,jnlpba
heterodimeric activator,protein,jnlpba
transforming growth factor-beta1,protein,jnlpba
megakaryoblastic and erythroleukemic cells,cell_type,jnlpba
transforming growth factor-beta ( 1 ),protein,jnlpba
tgf-beta ( 1 ),protein,jnlpba
mo-7e cells,cell_line,jnlpba
mapk extracellular signal-regulated kinases,protein,jnlpba
janus kinase-2,protein,jnlpba
mo-7e and hel cells,cell_line,jnlpba
mapk erk1/erk2 and stat5,protein,jnlpba
taf ( ii ) 105-nf-kappab,protein,jnlpba
major histocompatibility complex class ii chaperone,protein,jnlpba
p65/rela,protein,jnlpba
nf-kappab p65/rela homodimer,protein,jnlpba
b cell-enriched coactivator,protein,jnlpba
tbp-associated factor ( ii ) 105,protein,jnlpba
cd4+ cd8+ thymocytes,cell_type,jnlpba
cd4+ cd8+ population,cell_type,jnlpba
thymocyte subpopulations,cell_type,jnlpba
peroxisome proliferator-activated receptor gamma ligands,protein,jnlpba
nuclear hormone receptor superfamily,protein,jnlpba
ppargamma ligands,protein,jnlpba
negative regulator,protein,jnlpba
human 2b4 ( cd244 ) gene,DNA,jnlpba
cell surface glycoprotein 2b4,protein,jnlpba
cd244,protein,jnlpba
high affinity counterreceptor,protein,jnlpba
2b4,protein,jnlpba
src homology 2 domain-containing protein,protein,jnlpba
signaling lymphocyte activation molecule-associated protein,protein,jnlpba
human 2b4 ( h2b4 ) promoter,DNA,jnlpba
h2b4 gene,DNA,jnlpba
h2b4 genomic clones,DNA,jnlpba
yt cells,cell_line,jnlpba
jun family,protein,jnlpba
fa-c cells,cell_type,jnlpba
fancc,protein,jnlpba
interferon gamma-inducible genes,DNA,jnlpba
ifngamma-inducible genes,DNA,jnlpba
ifn-stimulated gene factor 3 gamma subunit,protein,jnlpba
isgf3gamma,protein,jnlpba
cyclin-dependent kinase inhibitor p21,protein,jnlpba
waf1,protein,jnlpba
b lymphoblasts,cell_type,jnlpba
low-density bone marrow cells,cell_type,jnlpba
murine embryonic fibroblasts,cell_type,jnlpba
activate signal transducer and activator of transcription ( stat ) 1,protein,jnlpba
activated stat1,protein,jnlpba
hematopoietic ifngamma-responsive protein,protein,jnlpba
ifngamma-responsive genes,DNA,jnlpba
ifn consensus sequence binding protein,protein,jnlpba
negative trans-acting regulator,protein,jnlpba
fa-c b lymphoblasts,cell_type,jnlpba
mefs,cell_type,jnlpba
p21 ( waf1 ),protein,jnlpba
fancc protein,protein,jnlpba
multipotent hscs,cell_type,jnlpba
b cell lineage,cell_line,jnlpba
t cell receptor gene locus,DNA,jnlpba
b or t lymphocytes,cell_type,jnlpba
lineage and stage specific transcription factors,protein,jnlpba
basic-helix-loop-helix ( bhlh ) transcription factors,protein,jnlpba
e2a transcription factors,protein,jnlpba
protein gilz,protein,jnlpba
activated normal t cells,cell_type,jnlpba
glucocorticoid-induced leucine zipper,DNA,jnlpba
gilz,DNA,jnlpba
fas ligand ( fasl ) mrna,RNA,jnlpba
gilz,protein,jnlpba
nfat/ap-1,protein,jnlpba
ap-1-driven and il-2 promoter-driven reporter constructs,DNA,jnlpba
active ap-1,protein,jnlpba
60-amino acid region,protein,jnlpba
e7 protein,protein,jnlpba
hpv16 e7,protein,jnlpba
ad5 e1a,protein,jnlpba
ctls,protein,jnlpba
iga isotype switching factor,protein,jnlpba
smad molecules,protein,jnlpba
transducers,protein,jnlpba
smad proteins,protein,jnlpba
endogenous germ-line ( gl ) alpha transcripts,RNA,jnlpba
ch12.lx.4933 ( mu ( + ) ) b lymphoma cells,cell_line,jnlpba
lymphoma cell line,cell_line,jnlpba
pfl3,DNA,jnlpba
tgf-beta-responsive element,DNA,jnlpba
glalpha promoter,DNA,jnlpba
endogenous glalpha transcripts,RNA,jnlpba
cotransfected smad4,protein,jnlpba
smad3/4,protein,jnlpba
normal spleen b cell,cell_type,jnlpba
iga switching related gene,DNA,jnlpba
translesion dna polymerase zeta,protein,jnlpba
polymerase,protein,jnlpba
translesion pol zeta,protein,jnlpba
pol eta,protein,jnlpba
b cell receptor,protein,jnlpba
pol zeta,protein,jnlpba
ig and bcl-6 genes,DNA,jnlpba
rev3 catalytic subunit,protein,jnlpba
oncogene product tax,protein,jnlpba
trans-activator protein tax,protein,jnlpba
human t-cell line kit 225 cells,cell_line,jnlpba
resting kit 225 cells,cell_line,jnlpba
cyclin dependent kinase 2,protein,jnlpba
rb family proteins,protein,jnlpba
cell cycle regulatory molecules,protein,jnlpba
cyclin e,protein,jnlpba
cdk inhibitors p19,protein,jnlpba
ink4d,protein,jnlpba
cot kinase,protein,jnlpba
mitogen-activated protein kinase kinase kinase,protein,jnlpba
distal ( -105/-97 ),DNA,jnlpba
proximal ( -76/-61 ),DNA,jnlpba
nfat response elements,DNA,jnlpba
cox-2 promoter,DNA,jnlpba
calcium-dependent phosphatase calcineurin,protein,jnlpba
gal4-nfat fusion protein,protein,jnlpba
n-terminal transactivation domain,protein,jnlpba
trans-acting t cell factor-1,protein,jnlpba
ly-49 mhc class i receptors,protein,jnlpba
ly-49 gene family,DNA,jnlpba
class i mhc-specific receptors,protein,jnlpba
ly-49 receptors,protein,jnlpba
ly-49 receptor,protein,jnlpba
ly-49a,protein,jnlpba
transcriptional trans-acting factor,protein,jnlpba
t cell-specific factor-1,protein,jnlpba
ly-49a promoter,DNA,jnlpba
ly-49a gene,DNA,jnlpba
tcf-1 beta ( 2 ) -microglobulin,protein,jnlpba
ly-49a and d,protein,jnlpba
ly-49c,protein,jnlpba
ly-49g and i,protein,jnlpba
tcf binding sites,DNA,jnlpba
trans-acting factors,DNA,jnlpba
tcf site,DNA,jnlpba
ly-49 promoters,DNA,jnlpba
nk cell receptor,protein,jnlpba
cd11c beta ( 2 ),protein,jnlpba
soluble cd23,protein,jnlpba
macrophage inflammatory protein 1alpha,protein,jnlpba
cd11a alpha chains,protein,jnlpba
beta ( 2 ) integrins,protein,jnlpba
soluble cd23 ( scd23 ) fusion proteins,protein,jnlpba
macrophage inflammatory protein ( mip ) 1alpha,protein,jnlpba
chemokine genes,DNA,jnlpba
kappab binding sites,DNA,jnlpba
scd23,protein,jnlpba
cytosolic inhibitor ikappab-alpha,protein,jnlpba
mip-1alpha and mip-1beta messenger rna,RNA,jnlpba
human acyl-coenzyme a : cholesterol acyltransterase-1 gene,DNA,jnlpba
acyl-coenzyme a : cholesterol acyltransferase,protein,jnlpba
acat,protein,jnlpba
intracellular enzyme,protein,jnlpba
human acat-1 gene,DNA,jnlpba
p7,DNA,jnlpba
chromosome ( 1 and 7 ),DNA,jnlpba
acat-1 mrna,RNA,jnlpba
human blood monocyte-derived macrophages,cell_type,jnlpba
acat-1 p1 promoter,DNA,jnlpba
159-base pair core region,DNA,jnlpba
sp1 elements,DNA,jnlpba
ifn-gamma activated sequence,DNA,jnlpba
monocytic cell line thp-1 cell,cell_type,jnlpba
p7 promoter,DNA,jnlpba
gas/sp1 site,DNA,jnlpba
acat-1,protein,jnlpba
gata-3,DNA,jnlpba
t helper cell type 2,cell_type,jnlpba
proinflammatory th2 cytokines,protein,jnlpba
ia ( d ),protein,jnlpba
ie ( d ),protein,jnlpba
ia ( b ),protein,jnlpba
ie,protein,jnlpba
alpha-cd4,protein,jnlpba
ifngamma+ th1 cells,cell_type,jnlpba
p44/p42,protein,jnlpba
signal-transducing receptor for age,protein,jnlpba
putative ligand-binding domain,protein,jnlpba
truncated receptors,protein,jnlpba
cml-modified albumin,protein,jnlpba
extracellular signal-regulated kinase 1 and 2,protein,jnlpba
c-jun nh ( 2 ) -terminal kinase,protein,jnlpba
nf-kappab/rel transcription factors,protein,jnlpba
phosphoinositide 3'-kinase,protein,jnlpba
primary murine resting b cells,cell_type,jnlpba
immunodominant cd4+ t cell epitopes,cell_type,jnlpba
peptide epitopes,protein,jnlpba
antigenic protein,protein,jnlpba
cd4+ t cell epitopes,cell_type,jnlpba
human class ii tetramers,protein,jnlpba
vp16 protein,protein,jnlpba
class ii mhc tetramers,protein,jnlpba
vp16-specific epitopes,protein,jnlpba
tetramers,protein,jnlpba
vp16 epitopes,protein,jnlpba
inflammatory molecules,protein,jnlpba
interleukin-6,RNA,jnlpba
inducible nitric oxide synthase,protein,jnlpba
nf-kappab and cytokine mrna,RNA,jnlpba
gamma-chain cytokine,protein,jnlpba
activated human lymphoblasts,cell_type,jnlpba
gamma-chain cytokines,protein,jnlpba
cd45r0 mab uchl-1,protein,jnlpba
control cd45 mabs,protein,jnlpba
pan-cd45 mab gap8.3,protein,jnlpba
quiescent lymphocytes,cell_type,jnlpba
cd3 mab okt-3,protein,jnlpba
uchl-1,protein,jnlpba
okt-3,protein,jnlpba
"phosphorylated stat-3 , stat-5 , stat-6",protein,jnlpba
extracellular signal-related kinase 1/2,protein,jnlpba
cd45 epitopes,protein,jnlpba
gap8.3,protein,jnlpba
pax5,DNA,jnlpba
transcription factor bsap,protein,jnlpba
pax5-deficient pro-b cells,cell_type,jnlpba
b-lymphoid lineage,cell_type,jnlpba
non-b-lymphoid genes,DNA,jnlpba
b-lineage-specific genes,DNA,jnlpba
corepressors,protein,jnlpba
groucho protein family,protein,jnlpba
b-lineage,cell_type,jnlpba
ap-1 ( fos/jun ) proteins,protein,jnlpba
nfat and ap-1 binding sites,DNA,jnlpba
protein kinase c ( pkc ) /ras,protein,jnlpba
fos and jun families,protein,jnlpba
nfat5,protein,jnlpba
vgamma ( + ) -t-cell subsets,cell_type,jnlpba
vp2 capsid protein,protein,jnlpba
vgamma4 vdelta4 cells,cell_type,jnlpba
vgamma1 vdelta4 cells,cell_type,jnlpba
vgamma1 ( + ) cells,cell_type,jnlpba
monoclonal anti-vgamma1 antibody,protein,jnlpba
vgamma4 ( + ) cells,cell_type,jnlpba
cd4 ( + ) ifn-gamma ( + ) cells,cell_type,jnlpba
cd4 ( + ) il-4 ( + ) t cells,cell_type,jnlpba
vgamma1 ( + ) and vgamma4 ( + ) t cells,cell_type,jnlpba
vgamma4 and vgamma1 ( + ) t cells,cell_type,jnlpba
stat4ko vgamma1 ( + ) cells ( il-4 ( + ),cell_type,jnlpba
stat6ko vgamma1 ( + ) cells ( ifn-gamma ( + ) ),cell_type,jnlpba
stat6ko vgamma4 ( + ) cells ( ifn-gamma ( + ) ),cell_type,jnlpba
stat4ko vgamma4 ( + ) cells ( il-4 ( + ) ),cell_type,jnlpba
gammadelta-t-cell subsets,cell_type,jnlpba
cd4 ( + ) -th-cell,cell_type,jnlpba
vgamma subpopulation,cell_type,jnlpba
active site-blocked plasmin,protein,jnlpba
"cytoplasmic nf-kappab inhibitor , p105",protein,jnlpba
ikappab kinase ( ikk ) beta,protein,jnlpba
"erythroid , myeloid , and megakaryocytic lineages",cell_type,jnlpba
insulin-like growth factor-1,protein,jnlpba
granulocyte/monocyte colony-stimulating factor,protein,jnlpba
p. vera cells,cell_type,jnlpba
peripheral granulocytes,cell_type,jnlpba
"stat1 , 3 , and 5",protein,jnlpba
unstimulated peripheral granulocytes,cell_type,jnlpba
constitutively active stat3,protein,jnlpba
transcriptional regulator bap/tfii-i,protein,jnlpba
tec family of cytosolic kinases,protein,jnlpba
bap/tfii-i,protein,jnlpba
helix-loop-helix-like repeats,protein,jnlpba
wild-type bap/tfii-i,DNA,jnlpba
interferon consensus sequence binding protein,protein,jnlpba
bcr/abl oncoprotein,protein,jnlpba
icsbp-modified cells,cell_type,jnlpba
bcr/abl-transformed baf3 cells,cell_type,jnlpba
bcr/abl ( + ) leukemia cells,cell_type,jnlpba
-150 ap-1 site,DNA,jnlpba
effector cd8+ t cells,cell_type,jnlpba
cd4+ t helper cells,cell_type,jnlpba
cd28+ cd8 ( + ) t cells,cell_type,jnlpba
-150 cd28 response element ( cd28re ) /ap-1 site,DNA,jnlpba
nfat/ap-1 and oct/ap-1 sites,DNA,jnlpba
consensus ap-1 motif,DNA,jnlpba
nonconsensus -150 ap-1 site,DNA,jnlpba
cd28re/ap-1 consensus site,DNA,jnlpba
-150 cd28re/ap-1 site,DNA,jnlpba
-150 site,DNA,jnlpba
fibroblast growth factor,protein,jnlpba
"hematopoietic stem cell line , a-6",cell_line,jnlpba
ultipotent immature myeloid cell population,cell_type,jnlpba
stem cell markers,protein,jnlpba
"myeloid cell marker , f4/80",protein,jnlpba
"mac-1 , a macrophage marker",protein,jnlpba
"gr-1 , a granulocytic maker",protein,jnlpba
erythroid marker ter119,protein,jnlpba
myeloid-specific pu.1,protein,jnlpba
beta-major globin,protein,jnlpba
immature myeloid cells,cell_type,jnlpba
a-6 hematopoietic stem cell line,cell_line,jnlpba
bmi-1,protein,jnlpba
ezh2,protein,jnlpba
polycomb genes,DNA,jnlpba
polycomb-group ( pcg ) proteins,protein,jnlpba
mature resting peripheral t cells,cell_type,jnlpba
dividing blasts,cell_type,jnlpba
subcapsular immature double-negative ( dn ) ( cd4 ( - ) /cd8 ( - ) ) t cells,cell_type,jnlpba
double-positive ( dp ; cd4 ( + ) /cd8 ( + ) ) cortical thymocytes,cell_type,jnlpba
ezh2 ( + ) dn and dp thymocytes,cell_type,jnlpba
dn bmi-1 ( + ) /ezh2 ( - ) thymocytes,cell_type,jnlpba
dn bmi-1 ( + ) /ezh2 ( + ) cells,cell_type,jnlpba
dp cortical thymocytes,cell_type,jnlpba
single-positive ( cd4 ( + ) /cd8 ( - ),cell_type,jnlpba
cd8 ( + ) /cd4 ( - ) ) medullar thymocytes,cell_type,jnlpba
pcg genes,DNA,jnlpba
medullar thymocytes,cell_type,jnlpba
mature interfollicular t cells,cell_type,jnlpba
hematopoietic stem/progenitor cells,cell_type,jnlpba
"myeloid , t and b cells",cell_type,jnlpba
glycoprotein-350,protein,jnlpba
human b-lymphocytes,cell_type,jnlpba
cd21/cr2,protein,jnlpba
cr2,protein,jnlpba
major envelope glycoprotein-350,protein,jnlpba
gp350,protein,jnlpba
recombinant gp350,protein,jnlpba
rgp350,protein,jnlpba
cat reporter plasmid,DNA,jnlpba
herpesvirus envelope glycoprotein,protein,jnlpba
nontarget spleen lymphocytes,cell_type,jnlpba
laci mutants,cell_type,jnlpba
aci and hprt mutants,cell_type,jnlpba
spleen lymphocytes,cell_type,jnlpba
laci dna,DNA,jnlpba
hprt cdna,DNA,jnlpba
spleen lymphocyte laci mutants,cell_type,jnlpba
spleen lymphocyte,cell_type,jnlpba
laci and hprt mutants,cell_type,jnlpba
hprt mutants,cell_type,jnlpba
hprt gene,DNA,jnlpba
transgene,DNA,jnlpba
hematopoietic specific adaptor protein gads,protein,jnlpba
gads,protein,jnlpba
sh2 and sh3 domain,protein,jnlpba
hematopoietic-specific adaptor protein,protein,jnlpba
carboxy-terminal gads sh3 domain,protein,jnlpba
tyrosine phosphorylated lat,protein,jnlpba
gads sh2 domain,protein,jnlpba
grap protein,protein,jnlpba
120 amino acid unique region,protein,jnlpba
carboxy terminal sh3 domain,protein,jnlpba
capase cleavage site,protein,jnlpba
putative caspase 3 cleavage site,protein,jnlpba
camp-responsive element-binding protein-rel,protein,jnlpba
composite cd28 response element,protein,jnlpba
cd28re,protein,jnlpba
tre element,DNA,jnlpba
cd28re-tre,DNA,jnlpba
human t-cell,cell_type,jnlpba
n-terminal 743 residues,protein,jnlpba
cd28re-tre element,DNA,jnlpba
cord blood mononuclear cells,cell_type,jnlpba
gata-3 mrna,RNA,jnlpba
myelin oligodendrocyte glycoprotein,protein,jnlpba
mog ( 35-55 ),protein,jnlpba
regulated on activation of normal t-cell expressed and secreted,protein,jnlpba
reporter-plasmids,DNA,jnlpba
core-binding factor beta,protein,jnlpba
cbfbeta,protein,jnlpba
cbfbeta-smooth muscle myosin heavy chain,protein,jnlpba
non-dna-binding subunit,protein,jnlpba
heterodimeric cbfs,protein,jnlpba
genes encoding cbfbeta,DNA,jnlpba
cbfb,DNA,jnlpba
"dna-binding cbfalpha subunits , runx1",protein,jnlpba
cbfalpha2,protein,jnlpba
pebp2alphab,protein,jnlpba
runx1 or cbfb gene,DNA,jnlpba
embryonic stem ( es ) cells,cell_type,jnlpba
primitive erythroid colonies,cell_type,jnlpba
erythroid and myeloid colonies,cell_type,jnlpba
full-length cbfb transgenes,DNA,jnlpba
heterodimerization domain,protein,jnlpba
smooth muscle myosin heavy chain ( smmhc ) fusion protein,protein,jnlpba
inv ( 16 ),protein,jnlpba
acute myeloid leukemias,cell_line,jnlpba
m4eo,cell_line,jnlpba
cbfb-deficient es cells,cell_type,jnlpba
smmhc portion,protein,jnlpba
cbfbeta-smmhc fusion protein,protein,jnlpba
runx1,protein,jnlpba
cbfb,protein,jnlpba
cbfbeta-smmhc,protein,jnlpba
myeloid lineage cells,cell_type,jnlpba
blastlike cells,cell_type,jnlpba
cutaneous natural killer/t-cell lymphomas,cell_type,jnlpba
"nasal type , extranodal natural killer or t ( nk/t ) -cell lymphoma",cell_type,jnlpba
ebv-dna,DNA,jnlpba
ebv-encoded nuclear rna,RNA,jnlpba
eber,RNA,jnlpba
ebv-dna fragments,DNA,jnlpba
terminal repeats,DNA,jnlpba
ebv-encoded genes,DNA,jnlpba
ebv-related antigens,protein,jnlpba
ebv-positive cell lines,cell_line,jnlpba
ebv nuclear antigen ( ebna ) -1 mrna,RNA,jnlpba
q promoter,DNA,jnlpba
upstream promoter,DNA,jnlpba
cp/wp,DNA,jnlpba
b95.8,cell_line,jnlpba
jiyoye,cell_line,jnlpba
latent membrane protein-1 ( lmp-1 ) mrna,RNA,jnlpba
"lmp-1 , ebna-2 or zebra antigens",protein,jnlpba
cell line cells,cell_line,jnlpba
latent bhrf1 transcripts,RNA,jnlpba
bcl-2 homologue,RNA,jnlpba
bcrf1 transcripts,RNA,jnlpba
viral interleukin ( vil ) -10,protein,jnlpba
latency-associated ebv genes,DNA,jnlpba
vil-10 and bcl-2 homologue,RNA,jnlpba
recombinant ppargamma,protein,jnlpba
ligand-binding pocket,protein,jnlpba
scavenger receptor cd36,protein,jnlpba
ppre-responsive gene,DNA,jnlpba
anti-cd36,protein,jnlpba
phospholipid flippase mimetic,protein,jnlpba
ppar-responsive genes,DNA,jnlpba
human mat2b gene,DNA,jnlpba
regulatory beta subunit,protein,jnlpba
methionine adenosyltransferase,protein,jnlpba
mat ii,protein,jnlpba
mat,protein,jnlpba
s-adenosylmethionine,protein,jnlpba
adomet,protein,jnlpba
mat ii isozyme,protein,jnlpba
catalytic alpha2 and a regulatory beta subunit,protein,jnlpba
mat ii beta subunit,protein,jnlpba
mat2b gene,DNA,jnlpba
promoter deletion analysis,DNA,jnlpba
positions +52 and +93,DNA,jnlpba
gc-rich region,DNA,jnlpba
sp1 recognition site,DNA,jnlpba
anti-sp1 antibody,protein,jnlpba
anti-sp3 antibody,protein,jnlpba
mat2b promoter,DNA,jnlpba
5'-untranslated sequences,DNA,jnlpba
